Find the movies released before January 1st, 2000?
select M.name,M.year,R.date from movies M join released R on M.movie_id=R.movie_id where R.date<2000-01-01;
                                   name                                   | year |    date    
 Mr. Wonderful                                                            | 1993 | 1993-10-15
 The English Patient                                                      | 1996 | 1996-12-06
 The Talented Mr. Ripley                                                  | 1999 | 1999-12-25
 Psycho III                                                               | 1986 | 1986-07-02
 An American Werewolf in Paris                                            | 1997 | 1997-12-25
 The Replacement Killers                                                  | 1998 | 1998-02-06
 Priest                                                                   | 1994 | 1995-03-24
 Mad Love                                                                 | 1995 | 1995-05-26
 Ravenous                                                                 | 1999 | 1999-03-19
 Crazy in Alabama                                                         | 1999 | 1999-10-22
 Yor, the Hunter from the Future                                          | 1983 | 1983-08-19
 A Very Brady Sequel                                                      | 1996 | 1996-08-23
 I'll Be Home for Christmas                                               | 1998 | 1998-11-13
 Windy City                                                               | 1984 | 1986-01-01
 Cross My Heart                                                           | 1987 | 1987-11-13
 The Care Bears Movie                                                     | 1985 | 1985-03-29
 La sentinelle                                                            | 1992 | 1998-10-16
 The Mambo Kings                                                          | 1992 | 1992-02-28
 Just Cause                                                               | 1995 | 1995-02-17
 Where the Buffalo Roam                                                   | 1980 | 1980-04-25
 The Wild Life                                                            | 1984 | 1984-09-28
 Rescue Me                                                                | 1992 | 1993-12-03
 Making Love                                                              | 1982 | 1982-03-05
 Author! Author!                                                          | 1982 | 1982-06-18
 Romantic Comedy                                                          | 1983 | 1983-10-07
 Teachers                                                                 | 1984 | 1984-10-05
 The Lonely Guy                                                           | 1984 | 1984-01-27
 Outrageous Fortune                                                       | 1987 | 1987-01-30
 See No Evil, Hear No Evil                                                | 1989 | 1989-05-12
 Taking Care of Business                                                  | 1990 | 1990-08-17
 The Babe                                                                 | 1992 | 1992-04-17
 Carpool                                                                  | 1996 | 1996-08-23
 Dead of Winter                                                           | 1987 | 1987-02-06
 Drop Dead Fred                                                           | 1991 | 1991-05-24
 The Adjuster                                                             | 1991 | 1992-07-01
 Exotica                                                                  | 1994 | 1995-03-24
 The Sweet Hereafter                                                      | 1997 | 1997-11-21
 Timebomb                                                                 | 1991 | 1991-05-25
 Barfly                                                                   | 1987 | 1987-10-16
 Reversal of Fortune                                                      | 1990 | 1990-11-09
 Single White Female                                                      | 1992 | 1992-08-14
 Kiss of Death                                                            | 1995 | 1995-04-21
 Before and After                                                         | 1996 | 1996-02-23
 Desperate Measures                                                       | 1998 | 1998-01-30
 Yentl                                                                    | 1983 | 1984-01-06
 The Prince of Tides                                                      | 1991 | 1991-12-25
 The Mirror Has Two Faces                                                 | 1996 | 1996-11-15
 Straight Talk                                                            | 1992 | 1992-04-03
 Diner                                                                    | 1982 | 1982-05-21
 The Natural                                                              | 1984 | 1984-05-11
 Young Sherlock Holmes                                                    | 1985 | 1985-12-04
 Good Morning, Vietnam                                                    | 1987 | 1988-01-15
 Tin Men                                                                  | 1987 | 1987-03-13
 Rain Man                                                                 | 1988 | 1988-12-16
 Avalon                                                                   | 1990 | 1990-10-19
 Bugsy                                                                    | 1991 | 1991-12-20
 Toys                                                                     | 1992 | 1992-12-18
