Find the movies released before January 1st, 2000?
select M.name,M.year,R.date from movies M join released R on M.movie_id=R.movie_id where R.date<2000-01-01;
                                   name                                   | year |    date    
 Lianna                                                                   | 1983 | 1983-09-08
 The Brother from Another Planet                                          | 1984 | 1984-09-14
 Matewan                                                                  | 1987 | 1987-08-28
 Eight Men Out                                                            | 1988 | 1989-06-29
 City of Hope                                                             | 1991 | 1991-11-15
 Passion Fish                                                             | 1992 | 1992-12-11
 The Secret of Roan Inish                                                 | 1994 | 1995-02-03
 Lone Star                                                                | 1996 | 1996-06-21
 Honky Tonk Freeway                                                       | 1981 | 1981-08-21
 The Falcon and the Snowman                                               | 1985 | 1985-02-08
 The Believers                                                            | 1987 | 1987-06-10
 Pacific Heights                                                          | 1990 | 1990-09-28
 Eye for an Eye                                                           | 1996 | 1996-01-12
 Drive Me Crazy                                                           | 1999 | 1999-10-01
 Boyz n the Hood                                                          | 1991 | 1991-07-12
 Poetic Justice                                                           | 1993 | 1993-07-23
 Higher Learning                                                          | 1995 | 1995-01-11
 Rosewood                                                                 | 1997 | 1997-02-21
 Major League: Back to the Minors                                         | 1998 | 1998-04-17
 Hairspray                                                                | 1988 | 1988-02-26
 Cry-Baby                                                                 | 1990 | 1990-04-06
 Serial Mom                                                               | 1994 | 1994-04-13
 Pecker                                                                   | 1998 | 1998-10-09
 Calendar Girl                                                            | 1993 | 1993-09-03
 Boardinghouse                                                            | 1982 | 1983-10-21
 Hard Target                                                              | 1993 | 1993-08-20
 Broken Arrow                                                             | 1996 | 1996-02-09
 Face/Off                                                                 | 1997 | 1997-06-27
 Tune in Tomorrow...                                                      | 1990 | 1990-11-02
 Sommersby                                                                | 1993 | 1993-02-05
 Copycat                                                                  | 1995 | 1995-10-27
 The Man Who Knew Too Little                                              | 1997 | 1997-11-14
 Entrapment                                                               | 1999 | 1999-04-30
 Fried Green Tomatoes                                                     | 1991 | 1992-01-24
 The War                                                                  | 1994 | 1994-11-04
 Up Close & Personal                                                      | 1996 | 1996-03-01
 Red Corner                                                               | 1997 | 1997-10-31
 Watchers                                                                 | 1988 | 1988-12-02
 3 Ninjas                                                                 | 1992 | 1992-08-07
 Cool Runnings                                                            | 1993 | 1993-10-01
 While You Were Sleeping                                                  | 1995 | 1995-04-21
 Phenomenon                                                               | 1996 | 1996-07-03
 Instinct                                                                 | 1999 | 1999-06-04
 Hush                                                                     | 1998 | 1998-03-06
 Melvin and Howard                                                        | 1980 | 1980-09-19
 Swing Shift                                                              | 1984 | 1984-04-13
 Something Wild                                                           | 1986 | 1986-11-07
 Married to the Mob                                                       | 1988 | 1988-08-19
 The Silence of the Lambs                                                 | 1991 | 1991-02-14
 Philadelphia                                                             | 1993 | 1994-01-14
 Beloved                                                                  | 1998 | 1998-10-16
 Star Trek: First Contact                                                 | 1996 | 1996-11-22
 Star Trek: Insurrection                                                  | 1998 | 1998-12-11
 Heart Like a Wheel                                                       | 1983 | 1983-04-01
 Project X                                                                | 1987 | 1987-04-17
 The Accused                                                              | 1988 | 1988-10-14
 Immediate Family                                                         | 1989 | 1989-10-27
 Unlawful Entry                                                           | 1992 | 1992-06-26
 Love Field                                                               | 1992 | 1993-02-12
 Bad Girls                                                                | 1994 | 1994-04-22
 Brokedown Palace                                                         | 1999 | 1999-08-13
 Clue                                                                     | 1985 | 1985-12-13
 Nuns on the Run                                                          | 1990 | 1990-03-30
 My Cousin Vinny                                                          | 1992 | 1992-03-13
 The Distinguished Gentleman                                              | 1992 | 1992-12-04
 Greedy                                                                   | 1994 | 1994-03-04
 Sgt. Bilko                                                               | 1996 | 1996-03-29
 Trial and Error                                                          | 1997 | 1997-05-30
 Breakdown                                                                | 1997 | 1997-05-02
 Camp Nowhere                                                             | 1994 | 1994-08-26
 My Science Project                                                       | 1985 | 1985-08-09
 Code Name: Emerald                                                       | 1985 | 1985-09-27
 Mystery Date                                                             | 1991 | 1991-08-16
 Ed and His Dead Mother                                                   | 1993 | 1993-11-17
 The Thirteenth Floor                                                     | 1999 | 1999-05-28
 Jetsons: The Movie                                                       | 1990 | 1990-07-06
 Dreamscape                                                               | 1984 | 1984-08-17
 The Stepfather                                                           | 1987 | 1987-06-05
 True Believer                                                            | 1989 | 1989-02-17
 Sleeping with the Enemy                                                  | 1991 | 1991-02-08
 The Good Son                                                             | 1993 | 1993-09-24
 Money Train                                                              | 1995 | 1995-11-22
 Return to Paradise                                                       | 1998 | 1998-08-14
 Nightmares                                                               | 1983 | 1983-09-09
 Jaws: the Revenge                                                        | 1987 | 1987-07-17
 Stalingrad                                                               | 1993 | 1993-01-21
 Friday the 13th: the Final Chapter                                       | 1984 | 1984-04-13
 Missing in Action                                                        | 1984 | 1984-11-16
 Invasion U.S.A.                                                          | 1985 | 1985-09-27
 Red Scorpion                                                             | 1988 | 1989-04-21
 Bal na vodi                                                              | 1985 | 1985-10-24
 Smooth Talk                                                              | 1985 | 1985-11-15
 The Lemon Sisters                                                        | 1989 | 1990-08-31
 Pieces                                                                   | 1982 | 1983-09-23
 The Last Unicorn                                                         | 1982 | 1982-11-19
 Basquiat                                                                 | 1996 | 1996-08-09
 Daughters of the Dust                                                    | 1991 | 1991-12-27
 Absolute Beginners                                                       | 1986 | 1986-04-18
 Earth Girls Are Easy                                                     | 1988 | 1989-05-12
 Lovers of the Arctic Circle                                              | 1998 | 1998-08-28
 Gwendoline                                                               | 1984 | 1985-01-25
 Lily in Love                                                             | 1984 | 1985-04-19
 Farewell My Concubine                                                    | 1993 | 1993-10-15
 Kuch Kuch Hota Hai                                                       | 1998 | 1998-10-16
 The French Lieutenant's Woman                                            | 1981 | 1981-10-16
 Sweet Dreams                                                             | 1985 | 1985-10-11
 Everybody Wins                                                           | 1990 | 1990-01-19
 Days of Being Wild                                                       | 1990 | 1990-12-15
 Chungking Express                                                        | 1994 | 1996-03-08
 Ashes of Time                                                            | 1994 | 1994-09-17
 Happy Together                                                           | 1997 | 1997-05-30
 Eve's Bayou                                                              | 1997 | 1997-11-07
 Near Dark                                                                | 1987 | 1988-01-08
 Blue Steel                                                               | 1990 | 1990-03-16
 Point Break                                                              | 1991 | 1991-07-12
 Strange Days                                                             | 1995 | 1995-10-13
 Akira                                                                    | 1988 | 1988-07-16
 Streets                                                                  | 1990 | 1990-01-19
 Poison Ivy                                                               | 1992 | 1992-05-08
 The Rage: Carrie 2                                                       | 1999 | 1999-03-12
 I'm Gonna Git You Sucka                                                  | 1988 | 1989-01-11
 A Low Down Dirty Shame                                                   | 1994 | 1994-11-23
 The Chocolate War                                                        | 1988 | 1988-11-18
 A Midnight Clear                                                         | 1992 | 1992-04-24
 Senior Trip                                                              | 1995 | 1995-09-08
 Kids in the Hall: Brain Candy                                            | 1996 | 1996-04-19
 Mickey Blue Eyes                                                         | 1999 | 1999-08-20
 River of Grass                                                           | 1994 | 1995-10-13
 The New Adventures of Pippi Longstocking                                 | 1988 | 1988-07-29
 Fast Talking                                                             | 1984 | 1986-04-23
 Airplane II: the Sequel                                                  | 1982 | 1982-12-10
 Head Office                                                              | 1985 | 1986-01-03
 Night School                                                             | 1981 | 1981-09-11
 Vibes                                                                    | 1988 | 1988-08-05
 He Said, She Said                                                        | 1991 | 1991-02-22
 Dunston Checks In                                                        | 1996 | 1996-01-12
 The Beautician and the Beast                                             | 1997 | 1997-02-07
 Hidden Agenda                                                            | 1990 | 1991-01-01
 Riff-Raff                                                                | 1991 | 1993-02-12
 Land and Freedom                                                         | 1995 | 1996-03-22
 Altered States                                                           | 1980 | 1980-12-25
 Crimes of Passion                                                        | 1984 | 1984-10-19
 Gothic                                                                   | 1986 | 1987-04-10
 The Lair of the White Worm                                               | 1988 | 1988-10-21
 Salome's Last Dance                                                      | 1988 | 1988-06-01
 The Rainbow                                                              | 1989 | 1989-05-26
 Whore                                                                    | 1991 | 1991-10-18
 Modern Problems                                                          | 1981 | 1981-12-25
 Eyes of a Stranger                                                       | 1981 | 1981-03-27
 Meatballs Part II                                                        | 1984 | 1984-07-27
 Return of the Living Dead II                                             | 1988 | 1988-01-15
 Henry V                                                                  | 1989 | 1989-11-08
 Dead Again                                                               | 1991 | 1991-08-30
 Peter's Friends                                                          | 1992 | 1992-12-25
 Much Ado About Nothing                                                   | 1993 | 1993-07-02
 Mary Shelley's Frankenstein                                              | 1994 | 1994-11-04
 Hamlet                                                                   | 1996 | 1996-12-25
 Short Circuit 2                                                          | 1988 | 1988-07-06
 Steel                                                                    | 1997 | 1997-08-15
 Newsies                                                                  | 1992 | 1992-04-10
 Hocus Pocus                                                              | 1993 | 1993-07-16
 Twin Town                                                                | 1997 | 1997-05-09
 Motel Hell                                                               | 1980 | 1980-10-24
 Dances with Wolves                                                       | 1990 | 1990-11-21
 The Postman                                                              | 1997 | 1997-12-25
 Strictly Business                                                        | 1991 | 1991-11-08
 Passenger 57                                                             | 1992 | 1992-11-06
 Fled                                                                     | 1996 | 1996-07-19
 Black Dog                                                                | 1998 | 1998-05-01
 Gold Diggers: The Secret of Bear Mountain                                | 1995 | 1995-11-03
 A Goofy Movie                                                            | 1995 | 1995-04-07
 Fandango                                                                 | 1985 | 1985-01-25
 The Beast of War                                                         | 1988 | 1988-09-07
 Robin Hood: Prince of Thieves                                            | 1991 | 1991-06-14
 Rapa Nui                                                                 | 1994 | 1994-09-09
 Waterworld                                                               | 1995 | 1995-07-28
 One Eight Seven                                                          | 1997 | 1997-07-30
 How Stella Got Her Groove Back                                           | 1998 | 1998-08-14
 Clerks                                                                   | 1994 | 1994-11-09
 Mallrats                                                                 | 1995 | 1995-10-20
 Chasing Amy                                                              | 1997 | 1997-04-18
 Dogma                                                                    | 1999 | 1999-11-12
 Witchboard                                                               | 1986 | 1987-03-13
 Night of the Demons                                                      | 1988 | 1988-10-14
 Teaching Mrs. Tingle                                                     | 1999 | 1999-08-20
 Windwalker                                                               | 1980 | 1983-11-18
 Texas Chainsaw Massacre: The Next Generation                             | 1994 | 1994-01-01
 Mystery Men                                                              | 1999 | 1999-08-06
 Waking Ned Devine                                                        | 1998 | 1999-01-08
 Jung on zo                                                               | 1993 | 1993-06-24
 The Big Hit                                                              | 1998 | 1998-04-24
 Body Chemistry                                                           | 1990 | 1990-03-09
 The Double Life of V̩ronique                                            | 1991 | 1991-11-22
 Three Colors: Blue                                                       | 1993 | 1993-09-08
 Three Colors: Red                                                        | 1994 | 1994-11-23
 Three Colors: White                                                      | 1994 | 1994-06-10
 Pok̩mon: The First Movie - Mewtwo Strikes Back                          | 1998 | 1999-11-10
 Cattle Annie and Little Britches                                         | 1980 | 1981-04-24
 Spacehunter: Adventures in the Forbidden Zone                            | 1983 | 1983-05-20
 Bound                                                                    | 1996 | 1996-10-04
 The Matrix                                                               | 1999 | 1999-03-31
 Missing in Action 2: The Beginning                                       | 1985 | 1985-03-01
 Steel Dawn                                                               | 1987 | 1988-03-31
 Six-String Samurai                                                       | 1998 | 1998-09-18
 Bliss                                                                    | 1997 | 1997-04-14
 The Private Eyes                                                         | 1980 | 1980-11-21
 Mad Dog Time                                                             | 1996 | 1996-11-08
 Kids                                                                     | 1995 | 1995-09-01
 Another Day in Paradise                                                  | 1998 | 1999-01-22
 Wicked Stepmother                                                        | 1989 | 1989-02-03
 Sour Grapes                                                              | 1998 | 1998-04-17
 All Dogs Go to Heaven 2                                                  | 1996 | 1996-03-29
 Why Would I Lie?                                                         | 1980 | 1980-08-08
 Love Child                                                               | 1982 | 1982-10-15
 Wired                                                                    | 1989 | 1989-08-25
 Europa                                                                   | 1991 | 1991-06-27
 Breaking the Waves                                                       | 1996 | 1996-11-13
 My Life as a Dog                                                         | 1985 | 1987-05-01
 Once Around                                                              | 1991 | 1991-02-01
 What's Eating Gilbert Grape                                              | 1993 | 1994-03-04
 Something to Talk About                                                  | 1995 | 1995-08-04
 Weekend Pass                                                             | 1984 | 1984-02-03
 Hunk                                                                     | 1987 | 1987-03-06
 Heavenly Bodies                                                          | 1984 | 1985-02-01
 Young Warriors                                                           | 1983 | 1983-08-28
 Body Heat                                                                | 1981 | 1981-08-28
 The Big Chill                                                            | 1983 | 1983-09-30
 Silverado                                                                | 1985 | 1985-07-10
 The Accidental Tourist                                                   | 1988 | 1989-01-06
 I Love You to Death                                                      | 1990 | 1990-04-06
 Grand Canyon                                                             | 1991 | 1992-01-17
 Wyatt Earp                                                               | 1994 | 1994-06-24
 French Kiss                                                              | 1995 | 1995-05-05
 Mumford                                                                  | 1999 | 1999-09-24
 Staying Together                                                         | 1989 | 1989-11-10
 Silent Night, Deadly Night Part 2                                        | 1987 | 1987-04-10
 Once Were Warriors                                                       | 1994 | 1995-03-03
 Mulholland Falls                                                         | 1996 | 1996-04-26
 The Edge                                                                 | 1997 | 1997-09-26
 Sugar Hill                                                               | 1993 | 1994-02-25
 Star Trek III: The Search for Spock                                      | 1984 | 1984-06-01
 Star Trek IV: The Voyage Home                                            | 1986 | 1986-11-26
 Three Men and a Baby                                                     | 1987 | 1987-11-25
 The Good Mother                                                          | 1988 | 1988-11-04
 Funny About Love                                                         | 1990 | 1990-09-21
 Holy Matrimony                                                           | 1994 | 1994-04-08
 Bad Blood                                                                | 1986 | 1986-11-26
 The Lovers on the Bridge                                                 | 1991 | 1999-07-02
 Pola X                                                                   | 1999 | 1999-10-09
 Encino Man                                                               | 1992 | 1992-05-22
 Miracle on 34th Street                                                   | 1994 | 1994-11-18
 Flubber                                                                  | 1997 | 1997-11-26
 Blue Streak                                                              | 1999 | 1999-09-17
 Now and Then                                                             | 1995 | 1995-10-20
 Educating Rita                                                           | 1983 | 1983-10-28
 Shirley Valentine                                                        | 1989 | 1989-08-30
 Stepping Out                                                             | 1991 | 1991-10-11
 Fighting Back                                                            | 1982 | 1982-05-21
 Cujo                                                                     | 1983 | 1983-08-12
 The Jewel of the Nile                                                    | 1985 | 1985-12-11
 Cat's Eye                                                                | 1985 | 1985-04-12
 Navy Seals                                                               | 1990 | 1990-07-20
 Rush                                                                     | 1991 | 1992-01-17
 Seven Minutes in Heaven                                                  | 1985 | 1985-05-09
 The Whales of August                                                     | 1987 | 1987-08-19
 How to Be a Player                                                       | 1997 | 1997-08-06
 High Art                                                                 | 1998 | 1998-06-12
 Just One of the Guys                                                     | 1985 | 1985-04-26
 Manny & Lo                                                               | 1996 | 1996-07-26
 Working Girls                                                            | 1986 | 1987-03-20
 Love Crimes                                                              | 1992 | 1992-01-24
 Terror Firmer                                                            | 1999 | 1999-06-20
 My Dinner with Andre                                                     | 1981 | 1981-10-11
 Crackers                                                                 | 1984 | 1984-02-17
 Alamo Bay                                                                | 1985 | 1985-04-03
 Au Revoir les Enfants                                                    | 1987 | 1988-02-12
 May Fools                                                                | 1990 | 1990-07-01
 Damage                                                                   | 1992 | 1993-01-22
 Bats                                                                     | 1999 | 1999-10-22
 Subway                                                                   | 1985 | 1985-11-06
 The Big Blue                                                             | 1988 | 1988-08-19
 Nikita                                                                   | 1990 | 1991-04-01
 L̩on: The Professional                                                  | 1994 | 1994-11-18
 The Fifth Element                                                        | 1997 | 1997-05-09
 The Messenger: The Story of Joan of Arc                                  | 1999 | 1999-11-12
 Ghoulies                                                                 | 1984 | 1985-01-18
 The Beyond                                                               | 1981 | 1983-11-11
 Hercules                                                                 | 1983 | 1983-08-26
 Sniper                                                                   | 1993 | 1993-01-29
 The Specialist                                                           | 1994 | 1994-10-07
 Anaconda                                                                 | 1997 | 1997-04-11
 White Palace                                                             | 1990 | 1990-10-26
 Born Yesterday                                                           | 1993 | 1993-03-26
 When a Man Loves a Woman                                                 | 1994 | 1994-05-13
 Message in a Bottle                                                      | 1999 | 1999-02-12
 The Official Story                                                       | 1985 | 1985-11-08
 Old Gringo                                                               | 1989 | 1989-10-06
 Zoot Suit                                                                | 1981 | 1982-01-01
 La Bamba                                                                 | 1987 | 1987-07-24
 Show Me Love                                                             | 1998 | 1998-10-23
 Back to the Beach                                                        | 1987 | 1987-08-07
 Testament                                                                | 1983 | 1984-01-05
 Ratcatcher                                                               | 1999 | 1999-11-12
 Kissed                                                                   | 1996 | 1997-04-11
 Wide Awake                                                               | 1998 | 1998-03-20
 The Sixth Sense                                                          | 1999 | 1999-08-06
 Children of Heaven                                                       | 1997 | 1999-01-22
 The Best Man                                                             | 1999 | 1999-10-22
 A Private Function                                                       | 1984 | 1985-03-01
 Out Cold                                                                 | 1989 | 1989-03-03
 The Boyfriend School                                                     | 1990 | 1990-09-21
 Ghost in the Shell                                                       | 1995 | 1996-03-29
 Dr. Giggles                                                              | 1992 | 1992-10-23
 Star Kid                                                                 | 1997 | 1998-01-16
 Delicatessen                                                             | 1991 | 1992-04-03
 The City of Lost Children                                                | 1995 | 1995-12-15
 Dream a Little Dream                                                     | 1989 | 1989-03-03
 Where the Day Takes You                                                  | 1992 | 1992-09-11
 Murder in the First                                                      | 1995 | 1995-01-20
 Body Rock                                                                | 1984 | 1984-09-28
 Devil in the Flesh                                                       | 1986 | 1987-05-22
 Demolition Man                                                           | 1993 | 1993-10-08
 Excess Baggage                                                           | 1997 | 1997-08-29
 Less Than Zero                                                           | 1987 | 1987-11-06
 The Incredibly True Adventure of Two Girls in Love                       | 1995 | 1995-06-16
 New Jack City                                                            | 1991 | 1991-03-08
 Posse                                                                    | 1993 | 1993-05-14
 Panther                                                                  | 1995 | 1995-05-03
 Permanent Record                                                         | 1988 | 1988-04-22
 Vital Signs                                                              | 1990 | 1990-04-13
 Spawn                                                                    | 1997 | 1997-08-01
 Exterminator 2                                                           | 1984 | 1984-09-14
 54                                                                       | 1998 | 1998-08-28
 Cats Don't Dance                                                         | 1997 | 1997-03-26
 Kickboxer                                                                | 1989 | 1989-09-08
 The Perfect Weapon                                                       | 1991 | 1991-03-15
 Storyville                                                               | 1992 | 1992-09-30
 Dead Heat                                                                | 1988 | 1988-05-06
 Hardbodies                                                               | 1984 | 1984-05-04
 Hardbodies 2                                                             | 1986 | 1986-09-12
 A Cry in the Wild                                                        | 1990 | 1990-06-01
 Blame It on the Bellboy                                                  | 1992 | 1992-03-06
 Brassed Off                                                              | 1996 | 1997-05-23
 Little Voice                                                             | 1998 | 1998-12-04
 Popcorn                                                                  | 1991 | 1991-02-01
 Happy, Texas                                                             | 1999 | 1999-12-03
 The Efficiency Expert                                                    | 1991 | 1992-11-06
 The MatchMaker                                                           | 1997 | 1997-10-03
 Leprechaun                                                               | 1993 | 1993-01-08
 Rumpelstiltskin                                                          | 1995 | 1995-11-24
 Firestarter                                                              | 1984 | 1984-05-11
 Commando                                                                 | 1985 | 1985-10-04
 Armed and Dangerous                                                      | 1986 | 1986-08-15
 Class of 1999                                                            | 1990 | 1990-05-11
 Showdown in Little Tokyo                                                 | 1991 | 1991-08-23
 The Night Flier                                                          | 1997 | 1998-02-06
 Going All the Way                                                        | 1997 | 1997-09-19
 Arlington Road                                                           | 1999 | 1999-07-09
 A Polish Vampire in Burbank                                              | 1983 | 1983-10-31
 The House on Sorority Row                                                | 1982 | 1983-07-28
 On Golden Pond                                                           | 1981 | 1982-02-12
 The River                                                                | 1984 | 1985-01-11
 For the Boys                                                             | 1991 | 1991-11-27
 Intersection                                                             | 1994 | 1994-01-21
 Simon Birch                                                              | 1998 | 1998-09-11
 Simply Irresistible                                                      | 1999 | 1999-02-05
 The House of Yes                                                         | 1997 | 1997-10-10
 Antonia's Line                                                           | 1995 | 1996-02-02
 Lovesick                                                                 | 1983 | 1983-02-18
 The Manhattan Project                                                    | 1986 | 1986-06-13
 Jack the Bear                                                            | 1993 | 1993-04-02
 Dangerous Beauty                                                         | 1998 | 1998-02-20
 Valley Girl                                                              | 1983 | 1983-04-29
 Joy of Sex                                                               | 1984 | 1984-08-03
 Real Genius                                                              | 1985 | 1985-08-07
 Rambling Rose                                                            | 1991 | 1991-09-20
 Three Wishes                                                             | 1995 | 1995-10-27
 Out to Sea                                                               | 1997 | 1997-07-02
 Onegin                                                                   | 1999 | 1999-11-19
 American Heart                                                           | 1992 | 1993-05-07
 Beverly Hills Cop                                                        | 1984 | 1984-12-05
 Midnight Run                                                             | 1988 | 1988-07-20
 Scent of a Woman                                                         | 1992 | 1993-01-08
 Meet Joe Black                                                           | 1998 | 1998-11-13
 Criminal Law                                                             | 1988 | 1989-04-28
 Defenseless                                                              | 1991 | 1991-08-23
 No Escape                                                                | 1994 | 1994-04-29
 GoldenEye                                                                | 1995 | 1995-11-17
 The Mask of Zorro                                                        | 1998 | 1998-07-17
 Hero at Large                                                            | 1980 | 1980-02-08
 Eddie and the Cruisers                                                   | 1983 | 1983-09-23
 Heart of Dixie                                                           | 1989 | 1989-08-25
 Apartment Zero                                                           | 1988 | 1989-09-15
 A Thin Line Between Love and Hate                                        | 1996 | 1996-04-03
 Back Roads                                                               | 1981 | 1981-03-13
 Cross Creek                                                              | 1983 | 1983-10-27
 Murphy's Romance                                                         | 1985 | 1986-01-31
 Nuts                                                                     | 1987 | 1987-12-11
 Stanley & Iris                                                           | 1990 | 1990-02-09
 Raging Bull                                                              | 1980 | 1980-12-19
 The King of Comedy                                                       | 1982 | 1983-02-18
 After Hours                                                              | 1985 | 1985-10-11
 The Color of Money                                                       | 1986 | 1986-10-17
 The Last Temptation of Christ                                            | 1988 | 1988-08-12
 Goodfellas                                                               | 1990 | 1990-09-21
 Cape Fear                                                                | 1991 | 1991-11-15
 The Age of Innocence                                                     | 1993 | 1993-10-01
 Casino                                                                   | 1995 | 1995-11-22
 Kundun                                                                   | 1997 | 1998-01-16
 Bringing Out the Dead                                                    | 1999 | 1999-10-22
 Cadence                                                                  | 1990 | 1991-02-15
 In God We Trust (or Gimme That Prime Time Religion)                      | 1980 | 1980-09-26
 Tank                                                                     | 1984 | 1984-03-16
 Paradise                                                                 | 1991 | 1991-10-04
 I Shot Andy Warhol                                                       | 1996 | 1996-05-01
 Siesta                                                                   | 1987 | 1987-11-11
 Pet Sematary                                                             | 1989 | 1989-04-21
 Pet Sematary II                                                          | 1992 | 1992-08-28
 Little Nemo: Adventures in Slumberland                                   | 1989 | 1992-08-21
 The Adventures of Milo and Otis                                          | 1986 | 1989-08-25
 La Haine                                                                 | 1995 | 1996-02-23
 The Pallbearer                                                           | 1996 | 1996-05-03
 Freeway                                                                  | 1996 | 1997-09-03
 Infinity                                                                 | 1996 | 1996-10-04
 Heart of Midnight                                                        | 1988 | 1989-03-03
 Dragonslayer                                                             | 1981 | 1981-06-26
 The Legend of Billie Jean                                                | 1985 | 1985-07-19
 *batteries not included                                                  | 1987 | 1987-12-18
 Bingo                                                                    | 1991 | 1991-08-09
 The Inkwell                                                              | 1994 | 1994-04-22
 Another You                                                              | 1991 | 1991-07-26
 Van Gogh                                                                 | 1991 | 1992-10-30
 Aimee & Jaguar                                                           | 1999 | 1999-02-11
 Tea in the Harem                                                         | 1985 | 1986-06-06
 History of the World: Part I                                             | 1981 | 1981-06-12
 Spaceballs                                                               | 1987 | 1987-06-24
 Life Stinks                                                              | 1991 | 1991-07-26
 Robin Hood: Men in Tights                                                | 1993 | 1993-07-28
 Dracula: Dead and Loving It                                              | 1995 | 1995-12-22
 Yellowbeard                                                              | 1983 | 1983-06-24
 Mischief                                                                 | 1985 | 1985-02-08
 The Man Without a Face                                                   | 1993 | 1993-08-25
 Braveheart                                                               | 1995 | 1995-05-24
 The Tall Guy                                                             | 1989 | 1990-09-21
 Radioland Murders                                                        | 1994 | 1994-10-21
 Bean                                                                     | 1997 | 1997-11-07
 The Baby-Sitters Club                                                    | 1995 | 1995-08-18
 Walk Like a Man                                                          | 1987 | 1987-04-17
 Over the Brooklyn Bridge                                                 | 1984 | 1984-03-02
 The Delta Force                                                          | 1986 | 1986-02-14
 Over the Top                                                             | 1987 | 1987-02-13
 Universal Soldier: the Return                                            | 1999 | 1999-08-20
 Fast Food                                                                | 1989 | 1989-04-28
 Millennium                                                               | 1989 | 1989-08-25
 Coal Miner's Daughter                                                    | 1980 | 1980-03-07
 Continental Divide                                                       | 1981 | 1981-09-18
 Gorky Park                                                               | 1983 | 1983-12-16
 Firstborn                                                                | 1984 | 1984-10-26
 Critical Condition                                                       | 1987 | 1987-01-16
 Gorillas in the Mist                                                     | 1988 | 1988-10-07
 Class Action                                                             | 1991 | 1991-03-15
 Thunderheart                                                             | 1992 | 1992-04-03
 Blink                                                                    | 1993 | 1994-01-26
 Nell                                                                     | 1994 | 1994-12-23
 Extreme Measures                                                         | 1996 | 1996-09-27
 The World Is Not Enough                                                  | 1999 | 1999-11-19
 Princess Caraboo                                                         | 1994 | 1994-09-16
 Bad Boys                                                                 | 1995 | 1995-04-07
 The Rock                                                                 | 1996 | 1996-06-07
 Armageddon                                                               | 1998 | 1998-07-01
 Crooked Hearts                                                           | 1991 | 1991-09-06
 Scandal                                                                  | 1989 | 1989-04-28
 Memphis Belle                                                            | 1990 | 1990-10-12
 Doc Hollywood                                                            | 1991 | 1991-08-02
 This Boy's Life                                                          | 1993 | 1993-04-23
 Rob Roy                                                                  | 1995 | 1995-04-14
 The Jackal                                                               | 1997 | 1997-11-14
 All the Right Moves                                                      | 1983 | 1983-10-21
 The Clan of the Cave Bear                                                | 1986 | 1986-01-17
