List all the directors that have directed ‘Action’ movies.
SELECT first, last, title, name, genre FROM movies natural join directed natural join casts WHERE genre = Action;
        first        |       last       | title |                           name                           | genre  
 Daniel              | Petrie           | Jr.   | Toy Soldiers                                             | Action
 Danny               | Cannon           |       | Judge Dredd                                              | Action
 Danny               | Pang             |       | Bangkok Dangerous                                        | Action
 Darren              | Aronofsky        |       | Noah                                                     | Action
 Dave                | Green            |       | Teenage Mutant Ninja Turtles: Out of the Shadows         | Action
 David               | Ayer             |       | Harsh Times                                              | Action
 David               | Ayer             |       | Street Kings                                             | Action
 David               | Ayer             |       | End of Watch                                             | Action
 David               | Ayer             |       | Fury                                                     | Action
 David               | Ayer             |       | Sabotage                                                 | Action
 David               | Ayer             |       | Suicide Squad                                            | Action
 David               | Carson           |       | Star Trek: Generations                                   | Action
 David               | Cronenberg       |       | Eastern Promises                                         | Action
 David               | Dobkin           |       | Shanghai Knights                                         | Action
 David F.            | Sandberg         |       | Shazam!                                                  | Action
 David               | Fincher          |       | Alien 3                                                  | Action
 David Gordon        | Green            |       | Pineapple Express                                        | Action
 David               | Green            |       | Fire Birds                                               | Action
 David               | Hogan            |       | Barb Wire                                                | Action
 David               | Hogan            |       | Most Wanted                                              | Action
 David               | Kellogg          |       | Inspector Gadget                                         | Action
 David               | Kerr             |       | Johnny English Strikes Again                             | Action
 David               | Koepp            |       | Premium Rush                                             | Action
 David               | Koepp            |       | Mortdecai                                                | Action
 David               | Leitch           |       | Atomic Blonde                                            | Action
 David               | Leitch           |       | Deadpool 2                                               | Action
 David               | Leitch           |       | Fast & Furious Presents: Hobbs & Shaw                    | Action
 David               | Lowery           |       | Pete's Dragon                                            | Action
 David               | Lynch            |       | Dune                                                     | Action
 David               | Mackenzie        |       | Hell or High Water                                       | Action
 David               | Mamet            |       | Heist                                                    | Action
 David               | Mamet            |       | Spartan                                                  | Action
 David               | McNally          |       | Kangaroo Jack                                            | Action
 David               | MichÃ´d          |       | The Rover                                                | Action
 David               | Nelson           |       | Last Plane Out                                           | Action
 David O.            | Russell          |       | Three Kings                                              | Action
 David               | Palmer           |       | Hit and Run                                              | Action
 David R.            | Ellis            |       | Cellular                                                 | Action
 David R.            | Ellis            |       | Snakes on a Plane                                        | Action
 David R.            | Ellis            |       | The Final Destination                                    | Action
 David S.            | Goyer            |       | Blade: Trinity                                           | Action
 David S.            | Ward             |       | The Program                                              | Action
 David               | Slade            |       | 30 Days of Night                                         | Action
 David               | Slade            |       | The Twilight Saga: Eclipse                               | Action
 David               | Twohy            |       | Pitch Black                                              | Action
 David               | Twohy            |       | Below                                                    | Action
 David               | Twohy            |       | The Chronicles of Riddick                                | Action
 David               | Twohy            |       | Riddick                                                  | Action
 David Von           | Ancken           |       | Seraphim Falls                                           | Action
 David Webb          | Peoples          |       | The Blood of Heroes                                      | Action
 David               | Yates            |       | Harry Potter and the Order of the Phoenix                | Action
 David               | Yates            |       | Harry Potter and the Half-Blood Prince                   | Action
 David               | Yates            |       | The Legend of Tarzan                                     | Action
 Dax                 | Shepard          |       | CHIPS                                                    | Action
 Dean                | Devlin           |       | Geostorm                                                 | Action
 Dean                | Israelite        |       | Power Rangers                                            | Action
 Dean                | Parisot          |       | RED 2                                                    | Action
 Dean                | Semler           |       | Firestorm                                                | Action
 Demian              | Lichtenstein     |       | 3000 Miles to Graceland                                  | Action
 Denis               | Villeneuve       |       | Sicario                                                  | Action
 Denis               | Villeneuve       |       | Blade Runner 2049                                        | Action
 Dennis              | Dugan            |       | Beverly Hills Ninja                                      | Action
 Dennis              | Dugan            |       | National Security                                        | Action
 Dennis              | Feldman          |       | Real Men                                                 | Action
 Dennis              | Gansel           |       | Mechanic: Resurrection                                   | Action
 Dennis              | Hopper           |       | Colors                                                   | Action
 Dennis              | Hopper           |       | Chasers                                                  | Action
 Deran               | Sarafian         |       | Death Warrant                                            | Action
 Deran               | Sarafian         |       | Terminal Velocity                                        | Action
 Desmond             | Davis            |       | Clash of the Titans                                      | Action
 Dick                | Lowry            |       | Smokey and the Bandit Part 3                             | Action
 Dick                | Richards         |       | Heat                                                     | Action
                     | Director         |       | Let's Get Harry                                          | Action
 Director            | X.               |       | SuperFly                                                 | Action
                     | Directors        |       | Godzilla 1985                                            | Action
                     | Directors        |       | Grindhouse                                               | Action
 Dito                | Montiel          |       | Fighting                                                 | Action
 Dominic             | Orlando          |       | Knights of the City                                      | Action
 Dominic             | Sena             |       | Gone in 60 Seconds                                       | Action
 Dominic             | Sena             |       | Swordfish                                                | Action
 Dominic             | Sena             |       | Whiteout                                                 | Action
 Dominic             | Sena             |       | Season of the Witch                                      | Action
 Don                 | Coscarelli       |       | The Beastmaster                                          | Action
 Don                 | Coscarelli       |       | Phantasm II                                              | Action
 Don Michael         | Paul             |       | Half Past Dead                                           | Action
 Don                 | Taylor           |       | The Final Countdown                                      | Action
 Donald              | Petrie           |       | Miss Congeniality                                        | Action
 Donovan             | Marsh            |       | Hunter Killer                                            | Action
 Dorothy Ann         | Puzo             |       | Cold Steel                                               | Action
 Doug                | Lefler           |       | The Last Legion                                          | Action
 Doug                | Liman            |       | The Bourne Identity                                      | Action
 Doug                | Liman            |       | Mr. & Mrs. Smith                                         | Action
 Doug                | Liman            |       | Jumper                                                   | Action
 Doug                | Liman            |       | Edge of Tomorrow                                         | Action
 Doug                | Liman            |       | American Made                                            | Action
 Doug                | Liman            |       | The Wall                                                 | Action
 Douglas             | Aarniokoski      |       | Highlander: Endgame                                      | Action
 Drew                | Pearce           |       | Hotel Artemis                                            | Action
