 movie_id | member_id 
     1534 |      2086
     3215 |      2102
     6546 |      2102
     5288 |      2111
     1375 |      2137
     3729 |      2137
     5309 |      2145
     3505 |      2153
     1400 |      2155
     2872 |      2155
     2893 |      2155
     4580 |      2155
     6049 |      2155
     6050 |      2155
     6255 |      2155
     6304 |      2155
     6587 |      2155
     6959 |      2155
     3961 |      2179
     4723 |      2179
     7416 |      2179
      735 |      2180
     2206 |      2195
     5271 |      2210
      168 |      2252
     5698 |      2252
     5699 |      2252
      426 |      2270
     1497 |      2270
     2066 |      2270
     2407 |      2270
     2737 |      2270
     3129 |      2270
     3941 |      2270
     4545 |      2270
     5069 |      2270
     5739 |      2270
     6112 |      2270
     7472 |      2270
     4250 |      2294
     7517 |      2308
     5875 |      2315
      128 |      2320
      491 |      2320
     3286 |      2320
     4653 |      2320
     4697 |      2320
     4832 |      2320
     5263 |      2320
     5835 |      2320
     5906 |      2320
     5907 |      2320
     7428 |      2320
     1562 |      2335
     2828 |      2335
     5932 |      2335
     6001 |      2354
      555 |      2371
      561 |      2371
     1377 |      2371
     1554 |      2371
     1762 |      2371
     2166 |      2371
     2604 |      2371
     2606 |      2371
     2727 |      2371
     2728 |      2371
     3336 |      2371
     3456 |      2371
     3487 |      2371
     3565 |      2371
     3603 |      2371
     3682 |      2371
     3716 |      2371
     3908 |      2371
     4016 |      2371
     4104 |      2371
     4317 |      2371
     4548 |      2371
     4577 |      2371
     4578 |      2371
     4582 |      2371
     4583 |      2371
     4585 |      2371
     4595 |      2371
     4728 |      2371
     4731 |      2371
     5041 |      2371
     5065 |      2371
     5466 |      2371
     5601 |      2371
     6061 |      2371
     6254 |      2371
     6524 |      2371
     7218 |      2371
     7331 |      2371
     7374 |      2371
     7375 |      2371
      899 |      2374
     5006 |      2374
     5905 |      2374
     6065 |      2374
     6230 |      2374
     1913 |      2377
     2791 |      2377
     5714 |      2377
     5785 |      2377
     6319 |      2377
     6748 |      2377
     7180 |      2377
       84 |      2396
      545 |      2396
     1578 |      2396
     2742 |      2396
     2772 |      2396
     3679 |      2396
     3989 |      2396
     5638 |      2396
     6113 |      2396
     6117 |      2396
     6187 |      2396
     6939 |      2396
     6962 |      2396
     7333 |      2396
     6146 |      2404
     6147 |      2404
     6148 |      2404
      723 |      2409
     6171 |      2409
     6172 |      2409
     6173 |      2409
     1453 |      2461
     2329 |      2461
     2917 |      2461
     3028 |      2461
     4054 |      2461
     4811 |      2461
     5359 |      2461
     5617 |      2461
     5941 |      2461
     5946 |      2461
     5949 |      2461
     6288 |      2461
     6290 |      2461
     6352 |      2461
     6374 |      2461
     6541 |      2461
      319 |      2469
     1319 |      2469
     1364 |      2469
     1365 |      2469
     1754 |      2469
     1755 |      2469
     2632 |      2469
     4644 |      2469
     5146 |      2469
     5147 |      2469
     6370 |      2469
     7057 |      2469
      860 |      2476
