Which directors have directed in more than 2 movies?
SELECT C.member_id, C.first, C.last FROM casts C natural join directed D1 inner join directed D2 on D1.member_id = D2.member_id where D1.movie_id != D2.movie_id GROUP BY C.member_id;
 member_id |        first        |       last       
      2403 | Robert              | Towne
       269 | Bill                | Paxton
      2592 | Stacy               | Title
      1444 | John                | Polson
       349 | Bruce               | Paltrow
      2756 | Tim                 | Johnson
      1024 | Gregory             | Hoblit
      2690 | Susanna             | White
        29 | Adam                | Wingard
         4 | Ã‰ric               | Rohmer
        96 | Allan               | Moyle
      2200 | Peter               | Jackson
      1979 | Mike                | Hodges
      1432 | John Michael        | McDonagh
        66 | Alejandro           | AmenÃ¡bar
      1919 | Michael             | Haneke
      1970 | Mikael              | HÃ¥fstrÃ¶m
       368 | Burt                | Reynolds
      2023 | Neil                | Burger
      2815 | Tommy               | Wirkola
       872 | Franc               | Roddam
      1965 | Mick                | Garris
      1449 | John                | Schlesinger
      2877 | Wayne               | Kramer
      1737 | Luke                | Greenfield
      2845 | Uwe                 | Boll
       931 | Gary David          | Goldberg
      2444 | Ronny               | Yu
      1712 | Lisa                | Krueger
      1654 | Lana                | Wachowski
      1991 | Milos               | Forman
       229 | Ben                 | Affleck
      2190 | Peter               | Greenaway
      2344 | Rob                 | Cohen
       996 | Gillies             | MacKinnon
      1197 | James               | Toback
      2264 | Raja                | Gosnell
       782 | Duwayne             | Dunham
      1514 | Joseph              | Kosinski
      1338 | Jocelyn             | Moorhouse
      1359 | Joel                | Coen
      1079 | Herb                | Freed
      1445 | John R. Cherry      | III
       659 | David O.            | Russell
      1481 | Jonathan            | Frakes
      1480 | Jonathan            | Demme
         9 | Aaron               | Norris
       592 | Danny               | Cannon
       553 | Dallas              | Jenkins
      1968 | Miguel              | Arteta
       927 | Garth               | Davis
      2510 | Savage Steve        | Holland
      1732 | Luis                | Mandoki
      1233 | Jay                 | Russell
       165 | Anthony             | Hickox
      2162 | Paul W.S.           | Anderson
      2427 | Roger               | Donaldson
       245 | Bernardo            | Bertolucci
      2615 | Stephen             | Gyllenhaal
      2901 | William             | Malone
      1326 | Jim                 | Wynorski
      1127 | J. Lee              | Thompson
      2348 | Rob                 | Letterman
      1017 | Greg                | McLean
      1754 | Malcolm             | Mowbray
      2169 | Penelope            | Spheeris
      1930 | Michael             | Mann
      2417 | Rod                 | Lurie
      2625 | Stephen             | Norrington
      2058 | Nigel               | Cole
      1035 | Guillermo del       | Toro
        32 | Adrian              | Lyne
      1881 | Mel                 | Gibson
       672 | David               | Seltzer
      2083 | Oliver              | Hirschbiegel
      1454 | John                | Stockwell
       256 | Bigas               | Luna
       628 | David Gordon        | Green
      1860 | Matteo              | Garrone
       185 | Ariel               | Vromen
       215 | Barbet              | Schroeder
      2759 | Tim                 | Miller
      1541 | Julie Anne          | Robinson
       314 | Brad                | Silberling
       426 | Charles Martin      | Smith
      2808 | Tom                 | Vaughan
      1805 | Mark                | Jones
      2822 | Tony                | Goldwyn
      1317 | Jim                 | Jarmusch
       971 | George              | Gallo
      1825 | Marshall            | Brickman
      2342 | Roar                | Uthaug
      1759 | Mamoru              | Oshii
       941 | Gary                | Sherman
      2761 | Tim                 | Robbins
       949 | Gavin               | Hood
      2707 | Tamara              | Jenkins
      2433 | Roger               | Young
       135 | Andrey              | Zvyagintsev
      1064 | Harry               | Winer
       879 | Francis             | Veber
      2795 | Tom                 | McCarthy
      1994 | Mira                | Nair
      1171 | James               | Foley
      1353 | Joe                 | Nussbaum
      2418 | Rodman              | Flender
      1688 | Leigh               | Whannell
      1129 | J.B.                | Rogers
       842 | F. Gary             | Gray
       767 | Douglas Day         | Stewart
      2062 | Nikolaj             | Arcel
      1367 | Joel                | Zwick
       244 | Bernard             | Rose
      1192 | James               | Ponsoldt
      1124 | Ivan                | Reitman
      1717 | Lorene              | Scafaria
      1243 | Jean-Jacques        | Annaud
      2584 | Sofia               | Coppola
       960 | Geoff               | Burrowes
      1516 | Joseph              | Sargent
      2464 | Ry                  | Russo-Young
       991 | Gil                 | Kenan
      2844 | Ulu                 | Grosbard
       776 | Duncan              | Gibbins
      2887 | Will                | Gluck
      1121 | Isao                | Takahata
      1882 | Mel                 | Smith
      2405 | Robert Vincent      | O'Neil
      1714 | Lizzie              | Borden
      2041 | Nick                | Castle
      2647 | Steve               | Oedekerk
      2287 | Reginald            | Hudlin
       591 | Danny               | Boyle
      1399 | John Francis        | Daley
      2732 | Theodore            | Melfi
        20 | Adam                | Brooks
      2277 | Randal              | Kleiser
      2249 | Prachya             | Pinkaew
      1660 | Larry               | Charles
      1183 | James L.            | Brooks
      1610 | Kevin               | Hooks
       943 | Gary                | Sinise
      2408 | Robert              | Zemeckis
       323 | Brett               | Leonard
       112 | Andrei              | Tarkovsky
      2944 | Zal                 | Batmanglij
       268 | Bill                | Norton
      1745 | M. Night            | Shyamalan
      2730 | Terry               | Zwigoff
        82 | Alexandre           | Aja
       202 | Asia                | Argento
      2203 | Peter               | Landesman
      1906 | Michael             | Cuesta
      1981 | Mike                | Leigh
      2587 | Spike               | Jonze
      1186 | James               | Mangold
      2316 | Richard             | Loncraine
      1147 | Jacques             | Audiard
      2588 | Spike               | Lee
      2927 | Yann                | Demange
       666 | David Robert        | Mitchell
       216 | Barbra              | Streisand
      1655 | Lance               | Hool
        62 | Albert              | Hughes
      1318 | Jim                 | Kouf
      2165 | Pawel               | Pawlikowski
      1223 | Jason               | Reitman
       925 | Gareth              | Evans
      2539 | Sergei              | Bodrov
       429 | Charles             | Sturridge
      2207 | Peter               | Markle
      1026 | Gregory             | Nava
      1191 | James               | Orr
       901 | Fred Olen           | Ray
       539 | Craig               | Brewer
       278 | Billy               | Ray
      1045 | Hal                 | Ashby
      1558 | Justin              | Lin
       417 | Charles             | Burnett
      1830 | Martin              | Brest
      1018 | Greg                | Mottola
      2040 | Nick                | Cassavetes
      1289 | Jerry               | Belson
       695 | Debra               | Granik
       794 | Edward              | Burns
       508 | Clark               | Johnson
      2321 | Richard             | Rich
      2610 | Stephen             | Daldry
      2593 | Stan                | Dragoti
      1030 | Greta               | Gerwig
      1694 | Les                 | Mayfield
      1614 | Kevin               | Macdonald
      2057 | Niels Arden         | Oplev
        35 | Agnieszka           | Holland
      2063 | Nima                | Nourizadeh
      2514 | Scott               | Frank
      2441 | Ron                 | Maxwell
      1266 | Jeff                | Wadlow
       714 | Derek               | Jarman
       909 | Fritz               | Kiersch
      2667 | Steven              | Soderbergh
      1685 | Lee Toland          | Krieger
       428 | Charles Stone       | III
      1786 | Marielle            | Heller
       747 | Don Michael         | Paul
      2581 | Simon               | Wincer
      1098 | Howard              | Zieff
      2333 | Rick                | Rosenthal
      2220 | Peter               | Webber
      1907 | Michael             | Davis
      1762 | Marc                | Caro
      2803 | Tom                 | Shadyac
      1845 | Mary                | Lambert
       668 | David S.            | Goyer
       926 | Garry               | Marshall
       645 | David               | Leland
      1460 | John                | Whitesell
      1546 | Julius              | Avery
      1816 | Mark                | Romanek
      2459 | Rupert              | Wainwright
        84 | Alfonso             | Arau
      1877 |                     | McG
      2452 | Roy                 | Battersby
      1062 | Harry               | Elfont
      1458 | John                | Waters
        59 | Alan                | Shapiro
      1535 | Judd                | Apatow
      2704 | Takeshi             | Kitano
      2302 | Richard             | Donner
      2567 | Sidney              | Lumet
      1038 | Gus Van             | Sant
       324 | Brett               | Ratner
      2745 | Thomas              | Vinterberg
      1126 | J                   | Blakeson
      1249 | Jean-Pierre         | Dardenne
      1524 | Josh                | Trank
       407 | Catherine           | Breillat
      2244 | Pierre              | Coffin
      2005 | Nacho               | Vigalondo
        39 | Akira               | Kurosawa
       690 | Dean                | Devlin
      2919 | Woody               | Allen
      1837 | Martin              | Scorsese
      1569 | Karyn               | Kusama
      2726 | Terry               | Gilliam
      2281 | Ray                 | Lawrence
       126 | Andrew              | Lau
      1146 | Jacob               | Estes
       224 | Bart                | Freundlich
      2804 | Tom                 | Six
      1665 | Larry               | Peerce
      2087 | Olivier             | Assayas
      1120 | Isabel              | Coixet
      1257 | Jeff                | Burr
      1961 | Michel              | Hazanavicius
       748 | Don                 | Roos
      1179 | James               | Isaac
      1700 | Lewis               | Teague
      1810 | Mark                | Osborne
      1977 | Mike                | Flanagan
      1856 | Matt                | Reeves
      2314 | Richard             | Lester
      2037 | Nicholas            | Meyer
       180 | Apichatpong         | Weerasethakul
      2193 | Peter               | Hedges
       967 | George              | Bowers
       263 | Bill                | Forsyth
      2878 | Wayne               | Wang
      2580 | Simon               | West
      1938 | Michael Patrick     | King
       710 | Denzel              | Washington
      2530 | Sean                | Ellis
      1015 | Greg                | Berlanti
      2032 | Nicholas            | Hytner
      1077 | Henry               | Selick
      1281 | Jeremiah S.         | Chechik
      1247 | Jeannot             | Szwarc
       546 | Curtis              | Hanson
       297 | Bob                 | Odenkirk
      1261 | Jeff                | Nichols
      2395 | Robert              | Radler
      1741 | Lynn                | Shelton
      1370 | John A.             | Davis
      2290 | Rian                | Johnson
      1383 | John                | Carney
      1345 | Joe                 | Chappelle
      2678 | Stuart              | Gordon
      2668 | Steven              | Spielberg
       884 | Frank               | Coraci
      2950 | Zoya                | Akhtar
       416 | Charles             | Band
      2315 | Richard             | Linklater
      2620 | Stephen             | Kay
      2295 | Richard             | Ayoade
      2677 | Stuart              | Gillard
      2323 | Richard             | Shepard
       865 | Forest              | Whitaker
      2824 | Tony                | Leondis
      1472 | Jon                 | Turteltaub
      2356 | Rob                 | Sitch
      2767 | Tobe                | Hooper
      2435 | Roland              | JoffÃ©
      1056 | Hark                | Tsui
       114 | Andrew              | Bergman
      2873 | Warren              | Beatty
      2750 | Tibor               | TakÃ¡cs
      2349 | Rob                 | Marshall
      1132 | J.J.                | Abrams
       306 | Bobcat              | Goldthwait
      1809 | Mark                | Neveldine
      2336 | Ridley              | Scott
        26 | Adam                | Robitel
       564 | Dan                 | Gilroy
      1960 | Michel              | Gondry
       310 | Brad                | Anderson
      1962 | Michelangelo        | Antonioni
      2454 | Ruben               | Fleischer
       831 | Etan                | Cohen
      2861 | Vincenzo            | Natali
       174 | Antonia             | Bird
        45 | Alan                | Alda
       891 | Frank               | Miller
      2508 | Satoshi             | Kon
      1419 | John                | Krasinski
      2619 | Stephen J.          | Anderson
       975 | George              | Lucas
      2558 | Shekhar             | Kapur
      2064 | NimrÃ³d             | Antal
       915 | GÃ©rard             | Lauzier
       207 | Ava                 | DuVernay
      2103 | Panos               | Cosmatos
       871 | FranÃ§ois           | Simard
      1996 | Mitch               | Davis
      2042 | Nick                | Gomez
      1909 | Michael             | Dougherty
      1080 | Herbert             | Ross
      2399 | Robert              | Schwentke
