Find the actors who have not worked in any movie between 1999 and 2012(including the start year and end year)?
select distinct member_id, first, last from starred_in natural join casts where member_id not in ( select C.member_id from casts C natural join starred_in natural join movies m where m.year between 1999 and 2012) ;
 member_id |        first        |      last      
      8105 | Zain Al             | Rafeea
      6626 | Shameik             | Moore
      8571 | Jim                 | Parsons
      7449 | Aida                | Mohammadkhani
      6723 | No̩mie             | Merlant
      7589 | Neil                | Young
      7412 | Lisa                | Hartman
      8694 | Audie               | England
      6651 | Blythe              | Danner
      7262 | Gunnar              | Hansen
      6591 | Samuel              | Fr̦ler
      6965 | James               | Aubrey
      4907 | Jeffrey             | Falcon
      8532 | David               | McConnell
      7519 | Jane                | March
      7907 | Lou                 | Ferrigno
      8505 | Viola               | Davis
      6620 | Mariel              | Hemingway
      8573 | Vincent             | Perez
      6927 | Thomas Ian          | Nicholas
      7549 | Macon               | Blair
      6611 | Lawrence            | Monoson
      6349 | Oleg                | Yankovskiy
      6766 | Robert              | Glaudini
      6601 | Jack                | Lemmon
      7066 | Bruce               | Ramsay
      6817 | Hera                | Hilmar
      7108 | Helen               | Shaver
      6475 | Martin              | Short
      8023 | Joshua              | Schaefer
      8258 | Kate                | Nelligan
      8304 | Fred                | Savage
      6715 | Lee                 | Dong-yong
      7377 | Shane               | Harper
      7991 | Dale                | Midkiff
      7816 | Richard             | Mulligan
      7719 | Madeleine           | Stowe
      7885 | Tom                 | Skerritt
      7746 | Erich               | Anderson
      6832 | Jessica             | Rothe
      7090 | Donald              | Pleasence
      6554 | Charlotte           | Burke
      6388 | Aleksey             | Serebryakov
      6909 | James               | Olson
      7358 | River               | Phoenix
      6525 | Anjelica            | Huston
      2789 | Tom                 | Holland
      8598 | Michael E.          | Knight
      8373 | Alden               | Ehrenreich
      6564 | Louis               | Ducreux
      8678 | Rongguang           | Yu
      7339 | James               | Duval
      6647 | Lady                | Gaga
      6558 | Debra               | Winger
      1882 | Mel                 | Smith
      8038 | Lawrence            | Ng
      7092 | Pat                 | Hingle
      8250 | George              | Hamilton
      7447 | Fabienne            | Babe
      8607 | Tom                 | Atkins
      8154 | Maggie              | Cheung
      6610 | Elsie               | Fisher
      6992 | Isabella            | Rossellini
      7314 | Philippe            | Noiret
      7580 | Nicole              | Eggert
      8185 | Ed                  | Oxenbould
      7132 | Jason James         | Richter
       426 | Charles Martin      | Smith
      7715 | Oprah               | Winfrey
      8546 | Rachel              | Ward
      7595 | Dee                 | Wallace
      7539 | Louise              | Fletcher
      8007 | Cindy               | Williams
      8472 | Alfre               | Woodard
      7069 | Mel                 | Blanc
      6876 | Kurt                | McKinney
      7922 | Joseph              | Cross
      8119 | Nigel               | Hawthorne
      6218 | Tatsuya             | Nakadai
      6742 | Mamie               | Gummer
      6156 | Anne                | Teyss̬dre
      6865 | Don                 | Adams
      7508 | Blake               | Lively
      7228 | Jason               | Lively
      5105 | Graham              | Chapman
      8357 | Nahuel P̩rez       | Biscayart
      7978 | Ian Michael         | Smith
      7181 | Jane                | Levy
      8375 | Angus               | Macfadyen
      8424 | Shea                | Whigham
      7394 | Walter              | Matthau
      7795 | Matt                | Frewer
      6163 | Chuck               | Norris
      7918 | Jane                | Alexander
      7156 | Darci               | Kistler
      7865 | John Allen          | Nelson
      7193 | Whitney             | Houston
      8123 | Lucy                | Deakins
      6993 | Sheryl              | Lee
      8085 | Charlton            | Heston
      7890 | Joyce               | Hyser
      7081 | Lawrence Michael    | Levine
      7884 | Liza                | Minnelli
      7268 | Paige               | O'Hara
      8177 | Douglas             | Barr
